Ano de Emissăo;Męs de Emissăo;Categoria do Transportador;Modelo do VPO;Nş de Transportadores;Nş de Veículos;Nş de VPOs;Valor dos VPOs
2025;4;CTC;Tag;168;3286;6627;2083658.08
2025;4;ETC;Tag;47651;168796;403917;140038674.78
2025;4;TAC;Tag;56908;61626;159735;31930035.87
2025;5;Năo Informado;Tag;2612;3103;5380;1234140.74
2025;5;CTC;Tag;206;5440;27775;8916274.56
2025;5;ETC;Tag;64356;242066;1320239;460180418.89
2025;5;TAC;Tag;83375;91290;515356;103779537.71
2025;6;Năo Informado;Tag;6023;8052;33056;7541414.01
2025;6;CTC;Tag;228;5396;27975;8745493.25
2025;6;ETC;Tag;63310;241127;1276825;449541793.74
2025;6;TAC;Tag;76430;83250;422582;87191970.43
2025;7;Năo Informado;Tag;6845;9332;40285;9473964.37
2025;7;CTC;Tag;236;6066;34085;11478996.06
2025;7;ETC;Tag;67463;254664;1505904;557881247.47
2025;7;TAC;Tag;83741;91391;547844;115105931.09
2025;8;Năo Informado;Tag;6949;9578;40230;9639342.01
2025;8;CTC;Tag;242;6172;33690;11560181.23
2025;8;ETC;Tag;69773;260904;1500037;559395552.69
2025;8;TAC;Tag;85323;93404;553084;117237106.18
2025;9;Năo Informado;Tag;6773;9320;40962;9343004.5
2025;9;CTC;Tag;248;6315;33716;11418551.29
2025;9;ETC;Tag;71825;266813;1551489;570301199.11
2025;9;TAC;Tag;87243;95609;574037;120429529.22
2025;10;Năo Informado;Tag;7538;10372;45296;10354143.86
2025;10;CTC;Tag;257;6472;35198;10909470.51
2025;10;ETC;Tag;74875;277535;1630374;605708303.85
2025;10;TAC;Tag;91153;99851;593969;125286925.03
2025;11;Năo Informado;Tag;7259;9947;44016;10215327.41
2025;11;CTC;Tag;248;6289;34063;9796340.56
2025;11;ETC;Tag;74462;273985;1533113;577931314.5
2025;11;TAC;Tag;87962;96383;538891;113468122.7
2025;12;Năo Informado;Tag;6888;9436;42900;9734385.29
2025;12;CTC;Tag;249;6044;32846;9868575.52
2025;12;ETC;Tag;72721;266671;1421454;542749555.76
2025;12;TAC;Tag;84885;93061;505663;104732980.1
2026;1;Năo Informado;Tag;6993;9639;43402;10317259.54
2026;1;CTC;Tag;258;6305;35356;11683940.86
2026;1;ETC;Tag;74191;271652;1545004;595392748.58
2026;1;TAC;Tag;84113;92298;533298;111647266.02
2026;2;Năo Informado;Tag;7115;9763;42786;10039304.62
2026;2;CTC;Tag;256;6370;36268;13420944.87
2026;2;ETC;Tag;76641;275533;1590915;626779794.25
2026;2;TAC;Tag;85986;94199;542104;116320210.67
2026;3;Năo Informado;Tag;2807;3698;6819;1568877.76
2026;3;CTC;Tag;195;3429;5697;2045202.36
2026;3;ETC;Tag;47452;137682;245998;92682389.83
2026;3;TAC;Tag;43159;46162;88891;18188361.04
